               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.021983,            0.011451,            0.008813,             0.58096,             0.43159,             0.46365,             0.24417,            0.021209,            0.008056,           0.0060628,           0.0025652,           0.0025652,           0.0025652
                  84,            0.022024,            0.011564,           0.0087959,             0.57192,             0.43774,             0.46463,             0.24443,              0.0212,           0.0080578,           0.0060557,           0.0025558,           0.0025558,           0.0025558
                  85,            0.021867,            0.011404,           0.0087885,             0.57509,             0.43777,              0.4651,             0.24539,            0.021186,           0.0080566,           0.0060517,           0.0025463,           0.0025463,           0.0025463
                  86,            0.021941,            0.011501,           0.0087568,              0.5657,             0.44583,             0.46635,               0.246,            0.021179,           0.0080552,           0.0060416,           0.0025369,           0.0025369,           0.0025369
                  87,            0.021928,            0.011457,           0.0087512,             0.57616,              0.4416,             0.46723,             0.24641,            0.021176,           0.0080571,           0.0060384,           0.0025274,           0.0025274,           0.0025274
                  88,            0.021902,            0.011474,           0.0087585,             0.57304,              0.4439,             0.46765,             0.24739,            0.021166,           0.0080556,           0.0060354,            0.002518,            0.002518,            0.002518
                  89,            0.021897,            0.011443,           0.0087461,             0.58113,             0.43935,             0.46825,             0.24778,            0.021156,           0.0080538,           0.0060307,           0.0025085,           0.0025085,           0.0025085
                  90,            0.021896,            0.011435,           0.0087366,             0.59792,             0.43081,             0.46826,             0.24788,             0.02116,           0.0080514,           0.0060275,           0.0024991,           0.0024991,           0.0024991
                  91,            0.021828,            0.011455,           0.0086718,             0.59878,             0.43248,             0.46894,             0.24793,            0.021155,           0.0080465,           0.0060212,           0.0024897,           0.0024897,           0.0024897
                  92,            0.021982,            0.011508,           0.0087378,             0.59524,             0.43479,             0.46935,             0.24871,            0.021147,           0.0080433,            0.006014,           0.0024802,           0.0024802,           0.0024802
                  93,             0.02179,            0.011418,           0.0087014,             0.59203,             0.43491,             0.46818,             0.24848,            0.021145,           0.0080437,           0.0060127,           0.0024708,           0.0024708,           0.0024708
                  94,            0.021884,             0.01139,            0.008731,             0.57732,             0.44239,             0.46833,             0.24892,            0.021143,            0.008045,           0.0060107,           0.0024613,           0.0024613,           0.0024613
                  95,            0.021829,            0.011488,           0.0086639,             0.58916,             0.43652,             0.46828,             0.24913,            0.021141,           0.0080468,           0.0060145,           0.0024519,           0.0024519,           0.0024519
                  96,            0.021848,            0.011463,           0.0086239,              0.5863,             0.43685,             0.46795,             0.24897,            0.021142,           0.0080491,           0.0060162,           0.0024424,           0.0024424,           0.0024424
                  97,            0.021805,            0.011459,           0.0086488,             0.58383,             0.43995,             0.46797,             0.24933,            0.021137,            0.008048,           0.0060107,            0.002433,            0.002433,            0.002433
                  98,            0.021783,            0.011483,           0.0086143,             0.59395,             0.43408,             0.46776,             0.24929,            0.021134,           0.0080486,           0.0060115,           0.0024235,           0.0024235,           0.0024235
                  99,            0.021886,            0.011435,           0.0086845,             0.59442,             0.43463,             0.46813,             0.24899,            0.021133,           0.0080534,           0.0060129,           0.0024141,           0.0024141,           0.0024141
                 100,            0.021848,            0.011387,            0.008657,              0.5931,             0.43484,             0.46773,             0.24906,            0.021131,           0.0080528,           0.0060124,           0.0024046,           0.0024046,           0.0024046
                 101,            0.021762,            0.011396,           0.0086278,              0.5857,             0.43697,             0.46789,             0.24883,            0.021131,           0.0080533,           0.0060159,           0.0023952,           0.0023952,           0.0023952
                 102,            0.021734,            0.011453,           0.0086066,             0.59582,             0.43257,             0.46757,             0.24877,            0.021127,           0.0080526,           0.0060153,           0.0023857,           0.0023857,           0.0023857
                 103,            0.021702,            0.011425,           0.0086418,             0.59684,             0.43307,             0.46802,             0.24923,             0.02113,           0.0080552,           0.0060138,           0.0023763,           0.0023763,           0.0023763
                 104,            0.021712,            0.011488,           0.0085928,             0.60102,             0.43098,             0.46804,             0.24932,            0.021127,           0.0080533,           0.0060135,           0.0023668,           0.0023668,           0.0023668
                 105,            0.021723,            0.011426,           0.0085737,             0.59864,             0.43172,             0.46785,             0.24939,            0.021125,            0.008053,           0.0060112,           0.0023574,           0.0023574,           0.0023574
                 106,            0.021699,            0.011368,           0.0085343,             0.58467,             0.43894,             0.46823,             0.24939,            0.021123,           0.0080551,           0.0060115,           0.0023479,           0.0023479,           0.0023479
                 107,            0.021752,            0.011437,           0.0085739,             0.58787,             0.43697,             0.46789,             0.24963,             0.02112,           0.0080568,           0.0060105,           0.0023385,           0.0023385,           0.0023385
                 108,            0.021721,            0.011444,           0.0085614,             0.59414,             0.43365,             0.46792,             0.24957,            0.021117,           0.0080587,           0.0060091,            0.002329,            0.002329,            0.002329
                 109,            0.021642,            0.011455,           0.0085905,              0.5912,             0.43502,               0.468,             0.24955,            0.021114,           0.0080607,           0.0060091,           0.0023196,           0.0023196,           0.0023196
                 110,            0.021744,            0.011425,           0.0085585,             0.59341,             0.43335,             0.46768,             0.24938,            0.021111,           0.0080603,           0.0060089,           0.0023101,           0.0023101,           0.0023101
                 111,            0.021724,            0.011478,           0.0086037,              0.5955,             0.43249,              0.4678,             0.24932,            0.021109,           0.0080645,           0.0060096,           0.0023007,           0.0023007,           0.0023007
                 112,            0.021672,            0.011459,            0.008513,             0.58898,             0.43568,             0.46769,             0.24933,            0.021107,           0.0080646,           0.0060051,           0.0022912,           0.0022912,           0.0022912
                 113,            0.021613,            0.011379,            0.008471,             0.58437,             0.43783,             0.46815,             0.24943,            0.021106,           0.0080649,           0.0060028,           0.0022818,           0.0022818,           0.0022818
                 114,            0.021706,            0.011423,           0.0085409,             0.57447,             0.44394,             0.46798,             0.24964,            0.021103,           0.0080669,           0.0060011,           0.0022723,           0.0022723,           0.0022723
                 115,            0.021596,            0.011376,           0.0084687,             0.57232,             0.44527,             0.46798,             0.24945,            0.021102,           0.0080662,           0.0060033,           0.0022629,           0.0022629,           0.0022629
                 116,            0.021638,            0.011395,           0.0085135,             0.57453,             0.44423,             0.46819,             0.24967,              0.0211,           0.0080682,           0.0060045,           0.0022534,           0.0022534,           0.0022534
                 117,             0.02162,            0.011427,             0.00848,             0.57197,             0.44396,             0.46794,             0.24977,            0.021101,           0.0080699,           0.0060045,            0.002244,            0.002244,            0.002244
                 118,            0.021668,            0.011427,           0.0084637,             0.57439,             0.44375,             0.46854,             0.25009,              0.0211,           0.0080707,           0.0060049,           0.0022345,           0.0022345,           0.0022345
                 119,            0.021504,            0.011354,           0.0084372,             0.57633,             0.44125,             0.46815,             0.24967,            0.021097,           0.0080699,           0.0060036,           0.0022251,           0.0022251,           0.0022251
                 120,            0.021574,            0.011427,           0.0084376,              0.5801,             0.43952,             0.46799,             0.24947,            0.021095,           0.0080701,           0.0060058,           0.0022157,           0.0022157,           0.0022157
                 121,            0.021647,            0.011409,            0.008453,             0.58714,             0.43613,              0.4681,             0.24965,            0.021096,           0.0080717,           0.0060065,           0.0022062,           0.0022062,           0.0022062
                 122,            0.021617,             0.01137,           0.0084622,             0.57193,             0.44491,             0.46815,             0.24917,            0.021098,           0.0080733,           0.0060085,           0.0021968,           0.0021968,           0.0021968
                 123,            0.021596,            0.011406,           0.0083889,             0.58284,             0.43827,             0.46826,              0.2492,            0.021097,           0.0080737,           0.0060071,           0.0021873,           0.0021873,           0.0021873
                 124,            0.021495,            0.011281,           0.0084068,              0.5762,             0.44231,             0.46812,             0.24905,            0.021099,           0.0080744,           0.0060087,           0.0021779,           0.0021779,           0.0021779
                 125,            0.021493,            0.011375,           0.0084572,             0.58543,             0.43684,             0.46781,             0.24898,              0.0211,           0.0080764,           0.0060114,           0.0021684,           0.0021684,           0.0021684
                 126,            0.021511,            0.011445,           0.0084486,               0.581,              0.4398,             0.46805,             0.24893,            0.021102,            0.008077,           0.0060148,            0.002159,            0.002159,            0.002159
                 127,            0.021575,            0.011383,           0.0084047,             0.56901,             0.44617,              0.4678,             0.24869,            0.021102,             0.00808,           0.0060155,           0.0021495,           0.0021495,           0.0021495
